index	file	width	height	category	event_type	scene	recommended_use	alt	tags	quality_notes	duplicate_of
010	ChatGPT Image May 2, 2026, 05_46_57 PM.png	1672	941	illustration	non_miami_reference	Dragon-shaped light over a modern city at night.	possible_blog_art_only	Dragon-shaped light over a city at night.	dragon; city; night; illustration	Stylized illustration, not a Miami event image.	
011	ChatGPT Image May 3, 2026, 08_53_55 PM (1).png	1672	941	event_photo_style	wedding_reception	Ballroom dance floor with pink and teal uplighting and guests dancing.	miami_event_lighting_gallery	Guests dancing in a ballroom with pink and teal uplighting.	wedding; reception; dance_floor; uplighting; ballroom	Good lighting and dance-floor atmosphere image.	
012	ChatGPT Image May 3, 2026, 08_53_55 PM (2).png	1672	941	cocktail_photo_style	corporate_event	Rooftop cocktail lounge with Miami skyline at sunset.	miami_corporate_or_private_event_gallery	Guests at a rooftop cocktail event with the Miami skyline at sunset.	rooftop; cocktail_hour; skyline; private_event; corporate	Strong skyline and social-event image.	
013	ChatGPT Image May 3, 2026, 08_53_56 PM (3).png	1672	941	event_photo_style	quinceanera	Formal ballroom entrance with quinceanera guest of honor and family applauding.	miami_quinceanera_gallery	Quinceanera ballroom entrance with family and guests applauding.	quinceanera; ballroom; entrance; formal_moment	Strong quinceanera hero/support image.	
014	ChatGPT Image May 3, 2026, 08_53_56 PM (4).png	1672	941	cocktail_photo_style	corporate_event	Evening terrace cocktail event overlooking Biscayne Bay or downtown Miami.	miami_corporate_event_gallery	Guests mingling on a Miami terrace during an evening cocktail event.	terrace; cocktail_hour; skyline; waterfront; corporate	Good corporate/private event atmosphere image.	
015	ChatGPT Image May 3, 2026, 08_53_56 PM (5).png	1672	941	event_photo_style	wedding_ceremony	Waterfront wedding ceremony with floral arch and Miami skyline.	miami_ceremony_audio_gallery	Waterfront Miami wedding ceremony with a floral arch and skyline view.	wedding; ceremony; waterfront; floral_arch; Miami	Strong ceremony image; useful for ceremony audio content.	
016	ChatGPT Image May 3, 2026, 08_53_56 PM (6).png	1672	941	event_photo_style	wedding_reception	Outdoor night reception with guests dancing under stage lights.	miami_wedding_or_lighting_gallery	Guests dancing at an outdoor night reception with beams of light.	wedding; reception; outdoor; dance_floor; lighting	Good dance lighting image.	
017	ChatGPT Image May 4, 2026, 08_26_05 PM (1).png	1672	941	cocktail_photo_style	corporate_event	Rooftop cocktail reception with downtown Miami sunset view.	miami_corporate_event_gallery	Rooftop cocktail reception with downtown Miami skyline at sunset.	rooftop; cocktail_hour; Miami_skyline; corporate	Strong skyline image for corporate/private-event pages.	
018	ChatGPT Image May 4, 2026, 08_26_05 PM (2).png	1672	941	event_photo_style	corporate_event	Formal ballroom prepared for dinner, screens, and blue uplighting.	miami_corporate_event_gallery	Corporate ballroom dinner setup with presentation screens and blue uplighting.	corporate; ballroom; presentation; uplighting; dinner	Good conference or gala setup image.	
019	ChatGPT Image May 4, 2026, 08_26_06 PM (3).png	1672	941	dj_photo_style	corporate_event	DJ at controller in an upscale cocktail room.	miami_dj_gallery	DJ working at a controller during an upscale Miami event.	DJ; controller; cocktail_event; production	Useful DJ-working image.	
020	ChatGPT Image May 4, 2026, 08_26_06 PM (4).png	1672	941	audio_photo_style	corporate_event	Close-up of wireless microphone in front of a staged ballroom.	miami_ceremony_audio_or_corporate_gallery	Wireless microphone on a table in front of a staged ballroom.	microphone; audio; corporate; ballroom; speech	Good audio/speech-support visual.	
021	ChatGPT Image May 4, 2026, 08_26_06 PM (5).png	1672	941	cocktail_photo_style	private_event	Rooftop lounge event with guests, palm trees, and city lights.	miami_private_event_gallery	Rooftop lounge event with guests and Miami city lights.	rooftop; lounge; private_event; skyline; evening	Good private-event atmosphere image.	
022	ChatGPT Image May 4, 2026, 08_26_06 PM (6).png	1672	941	cocktail_photo_style	private_event	Dim rooftop lounge with seated guests and skyline backdrop.	miami_private_event_gallery	Dimly lit rooftop lounge event with a Miami skyline backdrop.	rooftop; lounge; skyline; private_event	Good moody event image; may need brighter crop.	
023	ChatGPT Image May 4, 2026, 08_26_06 PM (7).png	1672	941	planning_photo_style	corporate_event	Event team reviewing details in a formal ballroom.	miami_planner_friendly_gallery	Event professionals reviewing details in a formal Miami ballroom.	planner; coordination; corporate; ballroom	Good planning/process image.	
024	ChatGPT Image May 4, 2026, 08_26_07 PM (10).png	1672	941	audio_photo_style	corporate_event	Digital audio console and tablet in a ballroom.	miami_corporate_audio_gallery	Digital audio console and tablet set up in a Miami ballroom.	audio_console; mixer; tablet; corporate; AV	Good production-equipment image.	
025	ChatGPT Image May 4, 2026, 08_26_07 PM (8).png	1672	941	production_photo_style	corporate_event	Rolling production cases and speaker stands in hotel corridor.	miami_production_process_gallery	Event production cases and stands staged in a hotel corridor.	production; load_in; gear; hotel_event	Useful behind-the-scenes production image.	
026	ChatGPT Image May 4, 2026, 08_26_07 PM (9).png	1672	941	cocktail_photo_style	corporate_event	Guests mingling on waterfront terrace near sunset.	miami_corporate_event_gallery	Guests mingling on a Miami waterfront terrace near sunset.	cocktail_hour; waterfront; terrace; corporate	Good cocktail-hour and venue atmosphere image.	
027	ChatGPT Image May 4, 2026, 08_26_29 PM (1).png	1672	941	cocktail_photo_style	corporate_event	Large rooftop reception with downtown Miami skyline.	miami_corporate_event_gallery	Large rooftop reception with downtown Miami skyline at dusk.	rooftop; corporate; skyline; cocktail_reception	Strong corporate/private-event image.	
